FAM	D	T	L
cy41HOG000273840.ale.uml_rec	0.659405	0.245933	0.619252
cy41HOG000233407.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000069591.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000035578.ale.uml_rec	1e-06	0.630273	1.1293
cy41HOG000019600.ale.uml_rec	1e-06	0.0126213	0.0133592
cy41HOG000253478.ale.uml_rec	1e-06	0.363506	0.471845
cy41HOG000054315.ale.uml_rec	1e-06	0.214892	0.509613
cy41HOG000115335.ale.uml_rec	1.0821	1e-06	1.28945
cy41HOG000218776.ale.uml_rec	1e-06	0.450897	0.698344
cy41HOG000054645.ale.uml_rec	0.00370999	2.14299e-05	0.265513
cy41HOG000023112.ale.uml_rec	0.425004	1e-06	0.716082
cy41HOG000221591.ale.uml_rec	1e-06	0.0558816	0.0504939
cy41HOG000222064.ale.uml_rec	0.000446923	0.0978015	0.160634
cy41HOG000233598.ale.uml_rec	0.173864	1e-06	0.234878
cy41HOG000037250.ale.uml_rec	1e-06	0.554056	1.0806
cy41HOG000074142.ale.uml_rec	0.0177008	0.10683	0.0851718
cy41HOG000087945.ale.uml_rec	3.79035e-05	0.744463	1.16928
cy41HOG000069483.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000232657.ale.uml_rec	4.22889e-06	0.100164	0.112609
cy41HOG000281217.ale.uml_rec	7.65715e-05	0.0997147	0.107183
cy41HOG000233045.ale.uml_rec	0.0121285	0.0775477	0.0919942
cy41HOG000081023.ale.uml_rec	0.280292	2.59699e-06	0.0997278
cy41HOG000054757.ale.uml_rec	1e-06	0.852837	0.967595
cy41HOG000130751.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000224902.ale.uml_rec	1e-06	0.810023	0.976497
cy41HOG000058328.ale.uml_rec	0.0547508	0.000394745	1e-06
cy41HOG000037342.ale.uml_rec	1e-06	0.0974281	0.109178
cy41HOG000022612.ale.uml_rec	1e-06	0.113564	0.172897
cy41HOG000054938.ale.uml_rec	0.000122889	1e-06	0.584146
cy41HOG000031559.ale.uml_rec	1e-06	1e-06	0.519396
cy41HOG000058678.ale.uml_rec	1.06035	1e-06	1.31395
cy41HOG000023000.ale.uml_rec	1.07374	1e-06	0.359593
cy41HOG000036000.ale.uml_rec	1e-06	0.238332	0.291857
cy41HOG000251712.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000232838.ale.uml_rec	0.099608	0.00118994	0.28714
cy41HOG000073059.ale.uml_rec	6.16996e-06	0.181184	0.414633
cy41HOG000275126.ale.uml_rec	1e-06	0.660853	0.60811
cy41HOG000054398.ale.uml_rec	0.00370999	2.14299e-05	0.265513
cy41HOG000132529.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000036976.ale.uml_rec	1e-06	1e-06	0.277778
cy41HOG000245786.ale.uml_rec	1e-06	0.251141	1e-06
cy41HOG000088134.ale.uml_rec	1.09975	1e-06	1.27008
cy41HOG000120906.ale.uml_rec	1.04398	1e-06	1.37046
cy41HOG000011547.ale.uml_rec	0.0719979	0.152662	0.421511
cy41HOG000035373.ale.uml_rec	0.0892701	0.00333772	0.239995
cy41HOG000037094.ale.uml_rec	1e-06	1e-06	0.154751
cy41HOG000035623.ale.uml_rec	0.325548	0.237919	0.483085
cy41HOG000233933.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000127760.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000225996.ale.uml_rec	1.09771	1e-06	0.670786
cy41HOG000132760.ale.uml_rec	1e-06	0.003228	0.472045
cy41HOG000131295.ale.uml_rec	1e-06	1e-06	0.463538
cy41HOG000054481.ale.uml_rec	1.63179e-06	0.17518	0.413116
cy41HOG000023249.ale.uml_rec	0.184437	0.10034	0.500313
cy41HOG000069205.ale.uml_rec	1.08522	1e-06	1.2553
cy41HOG000233393.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000120899.ale.uml_rec	1.04398	1e-06	1.37046
cy41HOG000232581.ale.uml_rec	1e-06	1e-06	0.597272
cy41HOG000058431.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000069755.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000127890.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000058161.ale.uml_rec	0.431463	1e-06	0.696891
cy41HOG000175173.ale.uml_rec	1e-06	1e-06	0.720835
cy41HOG000284782.ale.uml_rec	1e-06	0.739543	1.14364
cy41HOG000035741.ale.uml_rec	4.13948e-05	0.218159	0.000858335
cy41HOG000120864.ale.uml_rec	1.04398	1e-06	1.37046
cy41HOG000004425.ale.uml_rec	1e-06	0.0938983	0.204865
cy41HOG000035211.ale.uml_rec	0.0010256	0.273409	0.414606
cy41HOG000007480.ale.uml_rec	0.000488996	0.47692	0.404456
cy41HOG000131268.ale.uml_rec	1.09975	1e-06	1.27008
cy41HOG000036814.ale.uml_rec	1.29225e-06	0.000460811	0.195569
cy41HOG000186684.ale.uml_rec	1e-06	0.168139	1e-06
cy41HOG000276667.ale.uml_rec	0.000404888	0.16865	0.506148
cy41HOG000069637.ale.uml_rec	1e-06	0.780918	1.1477
cy41HOG000163049.ale.uml_rec	1e-06	0.178243	0.412967
cy41HOG000037069.ale.uml_rec	1e-06	0.1162	0.138874
cy41HOG000276808.ale.uml_rec	1e-06	1e-06	7.4279e-06
cy41HOG000058003.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000069367.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000058553.ale.uml_rec	1e-06	0.105138	0.000125706
cy41HOG000233851.ale.uml_rec	1e-06	1e-06	0.71692
cy41HOG000132602.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000253408.ale.uml_rec	0.28048	0.343652	0.386376
cy41HOG000115345.ale.uml_rec	1.0821	1e-06	1.28945
cy41HOG000054365.ale.uml_rec	1e-06	0.691317	1.15083
cy41HOG000167993.ale.uml_rec	8.01312e-05	0.133342	0.00208443
cy41HOG000153919.ale.uml_rec	5.88144e-05	0.213637	0.206084
cy41HOG000130633.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000224860.ale.uml_rec	1e-06	0.0564738	0.0545387
cy41HOG000065001.ale.uml_rec	0.109886	0.204355	0.000179504
cy41HOG000225182.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000232735.ale.uml_rec	1e-06	0.0754192	0.288434
cy41HOG000058685.ale.uml_rec	0.334649	1e-06	0.415859
cy41HOG000233127.ale.uml_rec	1e-06	1e-06	0.0691428
cy41HOG000095203.ale.uml_rec	0.0149516	0.102993	0.134867
cy41HOG000035508.ale.uml_rec	1e-06	1.27259e-05	0.512737
cy41HOG000003665.ale.uml_rec	1e-06	0.791657	1.16426
cy41HOG000233477.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000017077.ale.uml_rec	1e-06	0.109626	0.474805
cy41HOG000250532.ale.uml_rec	1e-06	1e-06	0.484374
cy41HOG000087935.ale.uml_rec	1e-06	0.791657	1.16426
cy41HOG000023162.ale.uml_rec	1.05763	1e-06	1.35508
cy41HOG000035497.ale.uml_rec	0.0670801	0.171612	1e-06
cy41HOG000233429.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000145342.ale.uml_rec	1.0553	1e-06	0.182187
cy41HOG000035556.ale.uml_rec	1.05763	1e-06	1.35508
cy41HOG000234170.ale.uml_rec	1.07251	1e-06	0.34128
cy41HOG000233179.ale.uml_rec	1e-06	1e-06	0.032711
cy41HOG000151000.ale.uml_rec	1.08745	1e-06	1.24873
cy41HOG000253106.ale.uml_rec	0.000222946	0.171409	0.263511
cy41HOG000288525.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000069420.ale.uml_rec	1.04369	1e-06	0.171143
cy41HOG000029867.ale.uml_rec	1e-06	0.0213494	0.0533728
cy41HOG000058214.ale.uml_rec	1e-06	1e-06	0.638163
cy41HOG000001113.ale.uml_rec	1e-06	1e-06	0.254
cy41HOG000058744.ale.uml_rec	1e-06	1e-06	0.433333
cy41HOG000024465.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000035199.ale.uml_rec	1e-06	1e-06	0.117465
cy41HOG000054804.ale.uml_rec	0.351255	1e-06	0.735428
cy41HOG000232904.ale.uml_rec	1e-06	4.47433e-06	0.0618918
cy41HOG000080962.ale.uml_rec	1e-06	0.251141	1e-06
cy41HOG000028185.ale.uml_rec	1e-06	0.0322968	0.082139
cy41HOG000052239.ale.uml_rec	1e-06	0.0623229	0.0615272
cy41HOG000276639.ale.uml_rec	1e-06	1e-06	0.727807
cy41HOG000069806.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000233990.ale.uml_rec	1e-06	1e-06	0.166097
cy41HOG000054422.ale.uml_rec	0.00370999	2.14299e-05	0.265513
cy41HOG000276369.ale.uml_rec	1e-06	0.0288809	1e-06
cy41HOG000131236.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000232522.ale.uml_rec	0.000124703	0.0821086	0.179032
cy41HOG000058492.ale.uml_rec	1e-06	0.229701	0.498775
cy41HOG000233330.ale.uml_rec	1.31935e-05	5.98384e-05	0.70244
cy41HOG000127833.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000132833.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000233660.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000094606.ale.uml_rec	1e-06	1e-06	0.241518
cy41HOG000244137.ale.uml_rec	6.27648e-06	0.282967	0.368288
cy41HOG000253780.ale.uml_rec	1e-06	0.224585	1e-06
cy41HOG000009616.ale.uml_rec	0.0704009	0.0965351	0.21526
cy41HOG000035970.ale.uml_rec	1e-06	0.055215	0.131164
cy41HOG000239404.ale.uml_rec	1e-06	0.0434222	0.0457498
cy41HOG000250725.ale.uml_rec	0.316876	0.245965	0.738664
cy41HOG000069339.ale.uml_rec	0.53882	1e-06	0.298739
cy41HOG000037037.ale.uml_rec	1.95928e-05	0.137289	0.0633669
cy41HOG000035680.ale.uml_rec	2.08033e-05	0.252667	1e-06
cy41HOG000069669.ale.uml_rec	1e-06	1e-06	0.451949
cy41HOG000127951.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000069694.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000233702.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000232440.ale.uml_rec	3.44088e-05	0.0295087	0.0283828
cy41HOG000036388.ale.uml_rec	0.613261	0.430229	0.992999
cy41HOG000233252.ale.uml_rec	1e-06	0.0607868	0.0378847
cy41HOG000054540.ale.uml_rec	1e-06	0.233568	0.440696
cy41HOG000131354.ale.uml_rec	1.09975	1e-06	1.27008
cy41HOG000036928.ale.uml_rec	1e-06	1e-06	0.299855
cy41HOG000037155.ale.uml_rec	1e-06	0.0703728	0.138136
cy41HOG000246912.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000036747.ale.uml_rec	1e-06	1e-06	0.494775
cy41HOG000037405.ale.uml_rec	1e-06	1e-06	0.299855
cy41HOG000084045.ale.uml_rec	0.000196958	0.0716805	0.0909632
cy41HOG000023217.ale.uml_rec	0.172014	0.311974	0.538409
cy41HOG000238624.ale.uml_rec	0.0409152	0.0605645	0.211636
cy41HOG000052794.ale.uml_rec	0.00313167	0.058256	0.170942
cy41HOG000250317.ale.uml_rec	0.33477	0.241088	0.652978
cy41HOG000035812.ale.uml_rec	1e-06	0.342467	0.373778
cy41HOG000087996.ale.uml_rec	1.09771	1e-06	0.670786
cy41HOG000054259.ale.uml_rec	0.000232441	0.165748	0.412739
cy41HOG000054709.ale.uml_rec	1e-06	1e-06	0.221086
cy41HOG000220350.ale.uml_rec	1e-06	0.299125	0.0011946
cy41HOG000232609.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000036491.ale.uml_rec	0.450154	0.204003	1e-06
cy41HOG000050855.ale.uml_rec	1e-06	1e-06	0.433333
cy41HOG000234012.ale.uml_rec	1.0821	1e-06	1.28945
cy41HOG000035434.ale.uml_rec	1e-06	0.299894	0.570888
cy41HOG000132577.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000232866.ale.uml_rec	0.0823827	0.0602333	0.242146
cy41HOG000130690.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000054696.ale.uml_rec	1e-06	1e-06	0.0985943
cy41HOG000080800.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000233184.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000252819.ale.uml_rec	1e-06	0.296739	0.378929
cy41HOG000000333.ale.uml_rec	1e-06	1e-06	0.30925
cy41HOG000128032.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000232796.ale.uml_rec	7.01704e-05	4.36259e-05	0.178599
cy41HOG000058626.ale.uml_rec	0.187504	1e-06	0.401827
cy41HOG000069542.ale.uml_rec	1.09771	1e-06	0.670786
cy41HOG000225471.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000055009.ale.uml_rec	1.0821	1e-06	1.28945
cy41HOG000234100.ale.uml_rec	0.00493105	0.187388	0.0816008
cy41HOG000035526.ale.uml_rec	1e-06	0.0060668	0.196508
cy41HOG000221100.ale.uml_rec	1e-06	0.476041	0.453174
cy41HOG000121941.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000280019.ale.uml_rec	1e-06	0.0618353	0.180886
cy41HOG000145332.ale.uml_rec	1.06054	1e-06	1.34968
cy41HOG000233459.ale.uml_rec	1e-06	1e-06	0.0528085
cy41HOG000233109.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000232974.ale.uml_rec	1e-06	1e-06	0.033929
cy41HOG000054784.ale.uml_rec	0.821381	0.285553	0.670766
cy41HOG000058264.ale.uml_rec	1e-06	0.226188	1e-06
cy41HOG000069450.ale.uml_rec	6.16996e-06	0.181184	0.414633
cy41HOG000225033.ale.uml_rec	0.0195461	0.102164	0.160805
cy41HOG000232684.ale.uml_rec	1e-06	1e-06	0.031455
cy41HOG000058734.ale.uml_rec	0.128936	4.3027e-05	0.000848888
cy41HOG000283473.ale.uml_rec	0.143435	1e-06	0.505992
cy41HOG000233096.ale.uml_rec	1e-06	0.0272052	0.0286652
cy41HOG000232552.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000233610.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000127843.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000132843.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000131246.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000054452.ale.uml_rec	0.624987	0.400337	0.978933
cy41HOG000088078.ale.uml_rec	3.83446e-05	0.870178	0.982434
cy41HOG000165813.ale.uml_rec	1.06623	1e-06	0.342884
cy41HOG000113739.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000013323.ale.uml_rec	1e-06	1e-06	0.471636
cy41HOG000023305.ale.uml_rec	1.05763	1e-06	1.35508
cy41HOG000069349.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000223131.ale.uml_rec	0.297026	0.15757	0.185758
cy41HOG000010386.ale.uml_rec	1e-06	0.0898623	0.168507
cy41HOG000069619.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000276826.ale.uml_rec	0.000371333	1e-06	0.307467
cy41HOG000037047.ale.uml_rec	1e-06	0.281281	0.599004
cy41HOG000239474.ale.uml_rec	1.05763	1e-06	1.35508
cy41HOG000035900.ale.uml_rec	1.6695e-05	0.000306386	0.0657069
cy41HOG000054530.ale.uml_rec	1e-06	0.0978994	0.188718
cy41HOG000233882.ale.uml_rec	1e-06	1e-06	0.402254
cy41HOG000233772.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000127921.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000011569.ale.uml_rec	0.0311678	1e-06	0.132023
cy41HOG000143602.ale.uml_rec	1.0821	1e-06	1.28945
cy41HOG000233222.ale.uml_rec	0.00914776	0.0113152	0.0778693
cy41HOG000120928.ale.uml_rec	1.04398	1e-06	1.37046
cy41HOG000139668.ale.uml_rec	0.114511	0.0853955	0.41404
cy41HOG000202416.ale.uml_rec	0.000166645	0.170325	0.25358
cy41HOG000033016.ale.uml_rec	1e-06	0.0928601	0.138775
cy41HOG000165681.ale.uml_rec	1.08522	1e-06	1.2553
cy41HOG000232430.ale.uml_rec	1e-06	1.06535e-05	0.0266875
cy41HOG000058580.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000088085.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000211932.ale.uml_rec	1.62078e-05	1e-06	0.295416
cy41HOG000008116.ale.uml_rec	1.53136e-05	0.122884	0.220493
cy41HOG000035862.ale.uml_rec	4.08254e-05	0.229265	0.288303
cy41HOG000036737.ale.uml_rec	0.000162216	0.716106	1.13167
cy41HOG000291751.ale.uml_rec	0.000160098	0.476393	0.337345
cy41HOG000037125.ale.uml_rec	1e-06	0.257763	0.536339
cy41HOG000035792.ale.uml_rec	1e-06	0.0267562	0.104054
cy41HOG000023267.ale.uml_rec	1.05763	1e-06	1.35508
cy41HOG000068439.ale.uml_rec	2.08033e-05	0.252667	1e-06
cy41HOG000232679.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000035444.ale.uml_rec	1e-06	0.127924	1e-06
cy41HOG000248343.ale.uml_rec	0.00107101	2.58096e-06	0.215751
cy41HOG000234062.ale.uml_rec	1e-06	0.288026	1e-06
cy41HOG000132498.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000054779.ale.uml_rec	1e-06	0.732115	1.15653
cy41HOG000178184.ale.uml_rec	1e-06	0.0852847	0.090175
cy41HOG000232989.ale.uml_rec	1e-06	1e-06	0.484374
cy41HOG000200177.ale.uml_rec	0.0595091	0.0796407	0.302213
cy41HOG000058656.ale.uml_rec	0.348817	1e-06	0.324947
cy41HOG000080780.ale.uml_rec	1e-06	0.689466	1.1273
cy41HOG000054916.ale.uml_rec	1e-06	0.109626	0.474805
cy41HOG000128042.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000240860.ale.uml_rec	1e-06	0.644514	1.13209
cy41HOG000058306.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000069532.ale.uml_rec	1.08522	1e-06	1.2553
cy41HOG000132507.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000080870.ale.uml_rec	1e-06	0.791657	1.16426
cy41HOG000132484.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000224930.ale.uml_rec	0.0180168	0.0380727	0.120936
cy41HOG000054765.ale.uml_rec	1.63179e-06	0.17518	0.413116
cy41HOG000057830.ale.uml_rec	0.100377	1e-06	1e-06
cy41HOG000233077.ale.uml_rec	1e-06	0.774381	0.915384
cy41HOG000202643.ale.uml_rec	0.00130789	0.297374	0.338603
cy41HOG000033243.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000016265.ale.uml_rec	2.91434e-05	0.1261	0.245661
cy41HOG000232665.ale.uml_rec	1e-06	0.0548992	1e-06
cy41HOG000226527.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000035458.ale.uml_rec	1e-06	0.0325326	0.109179
cy41HOG000058285.ale.uml_rec	1e-06	0.101405	1e-06
cy41HOG000220803.ale.uml_rec	3.90017e-05	0.0608629	0.144245
cy41HOG000278846.ale.uml_rec	1e-06	0.222699	1e-06
cy41HOG000218839.ale.uml_rec	1e-06	0.170875	1e-06
cy41HOG000023032.ale.uml_rec	0.000628953	0.170518	0.198909
cy41HOG000147564.ale.uml_rec	1.0229	0.000262243	0.428632
cy41HOG000037370.ale.uml_rec	0.0712419	0.247954	0.40988
cy41HOG000035611.ale.uml_rec	1e-06	0.108624	0.158778
cy41HOG000234237.ale.uml_rec	3.22747e-05	1e-06	0.0760499
cy41HOG000035341.ale.uml_rec	1e-06	0.70419	1.16012
cy41HOG000079046.ale.uml_rec	1e-06	0.791657	1.16426
cy41HOG000120934.ale.uml_rec	1.08552	1e-06	0.371001
cy41HOG000088106.ale.uml_rec	0.000219551	0.787863	1.21944
cy41HOG000048982.ale.uml_rec	1e-06	0.107284	0.150238
cy41HOG000289070.ale.uml_rec	1e-06	0.370359	0.336472
cy41HOG000276737.ale.uml_rec	1e-06	0.313011	0.454746
cy41HOG000036944.ale.uml_rec	1e-06	2.29095e-05	0.715337
cy41HOG000076503.ale.uml_rec	1e-06	0.0144335	0.0409455
cy41HOG000024272.ale.uml_rec	1e-06	0.217003	1e-06
cy41HOG000037139.ale.uml_rec	1e-06	1e-06	0.471039
cy41HOG000201060.ale.uml_rec	1e-06	0.0143918	0.0275939
cy41HOG000069767.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000058403.ale.uml_rec	1e-06	0.251141	1e-06
cy41HOG000224516.ale.uml_rec	1e-06	0.423343	0.643578
cy41HOG000069237.ale.uml_rec	1.06623	1e-06	0.342884
cy41HOG000251569.ale.uml_rec	3.79035e-05	0.744463	1.16928
cy41HOG000132752.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000233901.ale.uml_rec	1e-06	1e-06	0.525441
cy41HOG000226901.ale.uml_rec	1e-06	0.459523	0.372761
cy41HOG000276655.ale.uml_rec	1e-06	0.412846	0.917717
cy41HOG000077273.ale.uml_rec	7.10092e-05	0.772152	1.19767
cy41HOG000013800.ale.uml_rec	1e-06	1e-06	0.433333
cy41HOG000088064.ale.uml_rec	1.09975	1e-06	1.27008
cy41HOG000035223.ale.uml_rec	0.0955138	1e-06	0.410382
cy41HOG000023286.ale.uml_rec	1.05763	1e-06	1.35508
cy41HOG000120856.ale.uml_rec	1.12968	1e-06	0.790219
cy41HOG000246983.ale.uml_rec	1.07374	1e-06	0.359593
cy41HOG000132630.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000127630.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000233863.ale.uml_rec	1e-06	0.70964	1.14959
cy41HOG000058561.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000154054.ale.uml_rec	1e-06	0.715181	1.18704
cy41HOG000023319.ale.uml_rec	1.05763	1e-06	1.35508
cy41HOG000058031.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000233793.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000069605.ale.uml_rec	0.667268	0.0797784	1e-06
cy41HOG000055963.ale.uml_rec	1e-06	0.864474	0.976582
cy41HOG000233445.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000032533.ale.uml_rec	1e-06	0.167591	1e-06
cy41HOG000057952.ale.uml_rec	1e-06	1e-06	0.433333
cy41HOG000232707.ale.uml_rec	0.00130012	0.122244	1e-06
cy41HOG000055015.ale.uml_rec	1e-06	0.782756	1.17373
cy41HOG000072684.ale.uml_rec	0.199301	1e-06	0.511849
cy41HOG000080891.ale.uml_rec	1.08522	1e-06	1.2553
cy41HOG000054607.ale.uml_rec	0.345663	0.255431	0.857513
cy41HOG000130601.ale.uml_rec	1e-06	1e-06	1e-06
cy41HOG000046861.ale.uml_rec	0.00693103	0.176032	0.159242
cy41HOG000037212.ale.uml_rec	1.46702e-06	0.0717945	1e-06
